"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","7","0","start","start","","","","","","","","","","23","0.0","2"
"0","7","109","mouseenter","mouse","mouse","form-tgt-input","","","716","463","","mouse","1","23","0.00212430083218","2"
"0","7","8309","mouseout","mouse","mouse","form-tgt-input","","","717","470","","mouse","1","23","0.161934088207","2"
"0","7","8312","mouseover","mouse","mouse","maincol","","","717","470","","mouse","1","23","0.161992555203","2"
"0","7","22948","mouseout","mouse","mouse","maincol","","","682","467","","mouse","1","23","0.447233536669","2"
"0","7","22950","mouseover","mouse","mouse","form-tgt-input","","","682","467","","mouse","1","23","0.447272514665","2"
"0","7","23134","mouseover","mouse","mouse","target_textbox","","","642","434","","mouse","1","23","0.450858490382","2"
"0","7","25323","mousedown","mouse","mouse","target_textbox","","","553","318","","mouse","1","23","0.493519908012","2"
"0","7","25503","click","mouse","mouse","target_textbox","","","555","318","","mouse","1","23","0.497027927735","2"
"0","7","26700","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.520356258892","2"
"0","7","28275","mousedown","mouse","mouse","target_textbox","","","662","357","","mouse","1","23","0.551051431467","2"
"0","7","28476","click","mouse","mouse","target_textbox","","","662","357","","mouse","1","23","0.554968720157","2"
"0","7","31531","mousedown","mouse","mouse","target_textbox","","","602","288","","mouse","1","23","0.614507610454","2"
"0","7","31683","click","mouse","mouse","target_textbox","","","602","288","","mouse","1","23","0.61746993822","2"
"0","7","32329","keypress","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.630059831225","2"
"0","7","33054","keydown","keyboard","keyboard","target_textbox","","","","","D","input","","23","0.644189355109","2"
"0","7","33056","keypress","keyboard","keyboard","target_textbox","","","","","numpad 4","control","","23","0.644228333106","2"
"0","7","33859","mouseover","mouse","mouse","centercol","","","572","268","","mouse","1","23","0.65987799887","2"
"0","7","34189","mouseover","mouse","mouse","target_textbox","","","571","275","","mouse","1","23","0.666309368362","2"
"0","7","50304","mouseover","mouse","mouse","centercol","","","400","331","","mouse","1","23","0.98037457855","2"
"0","7","50516","mouseover","mouse","mouse","maincol","","","292","474","","mouse","1","23","0.984506246224","2"
"0","7","50532","mouseover","mouse","mouse","wrapper2","","","297","479","","mouse","1","23","0.984818070199","2"
"0","7","50540","mouseover","mouse","mouse","footer","","","299","481","","mouse","1","23","0.984973982187","2"
"0","7","50660","mouseover","mouse","mouse","wrapper2","","","363","479","","mouse","1","23","0.987312662002","2"
"0","7","50670","mouseover","mouse","mouse","maincol","","","369","478","","mouse","1","23","0.987507551987","2"
"0","7","50756","mouseover","mouse","mouse","centercol","","","419","468","","mouse","1","23","0.989183605854","2"
"0","7","50796","mouseover","mouse","mouse","form_submit","","","445","468","","mouse","1","23","0.989963165793","2"
"0","7","51139","mousedown","mouse","mouse","form_submit","","","469","461","","mouse","1","23","0.996647892265","2"
"0","7","51141","change","mouse","mouse","target_textbox","","","","","","","","23","0.996686870262","2"
"0","7","51144","focusout","focus","","target_textbox","","","","","","","","23","0.996745337257","2"
"0","7","51156","focusin","focus","","form_submit","","","","","","","","23","0.996979205239","2"
"0","7","51303","mouseup","mouse","mouse","form_submit","","","469","461","","mouse","1","23","0.999844088012","2"
"0","7","51311","end","end","","","","","","","","","","23","1.0","2"
