is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-17 02:19:41.642332-07	1	t	23	25
f	2012-07-17 02:24:21.405986-07	1	t	35	33
f	2012-07-17 02:26:36.493898-07	1	t	25	31
f	2012-07-17 02:29:49.70089-07	1	t	18	18
f	2012-07-17 02:31:26.046043-07	1	t	21	19
f	2012-07-17 02:34:20.959717-07	1	t	22	27
f	2012-07-17 01:49:38.377358-07	1	t	25	31
f	2012-07-17 01:56:30.153267-07	1	t	26	34
f	2012-07-17 01:58:47.22694-07	1	t	18	26
f	2012-07-17 02:02:34.926232-07	1	t	14	18
f	2012-07-17 02:06:30.647141-07	1	t	16	24
f	2012-07-17 02:09:12.70304-07	1	t	23	31
f	2012-07-17 02:14:50.843328-07	1	t	23	37
f	2012-07-17 02:17:51.330342-07	1	t	20	20
f	2012-07-17 01:32:02.319761-07	2	t	41	45
f	2012-07-17 01:34:31.697043-07	2	t	19	20
f	2012-07-17 01:41:31.346702-07	2	t	23	19
f	2012-07-17 01:45:05.352538-07	2	t	43	33
f	2012-07-17 01:46:13.607212-07	2	t	28	32
f	2012-07-17 01:08:58.573538-07	2	t	27	36
f	2012-07-17 01:09:45.524639-07	2	t	12	9
f	2012-07-17 01:12:20.272697-07	2	t	24	27
f	2012-07-17 01:14:27.508409-07	2	t	14	17
f	2012-07-17 01:17:24.474897-07	2	t	14	12
f	2012-07-17 01:19:19.150922-07	2	t	23	21
f	2012-07-17 01:21:01.389066-07	2	t	14	16
f	2012-07-17 01:23:41.556396-07	2	t	15	20
