is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-17 07:56:30.753921-07	1	t	23	24
f	2012-07-17 07:59:10.677276-07	1	t	35	33
f	2012-07-17 08:01:47.900907-07	1	t	25	32
f	2012-07-17 08:03:56.03336-07	1	t	18	20
f	2012-07-17 08:05:01.108544-07	1	t	21	19
f	2012-07-17 08:06:46.941189-07	1	t	22	22
f	2012-07-17 08:11:12.845775-07	1	t	25	33
f	2012-07-17 08:14:27.987704-07	1	t	26	33
f	2012-07-17 08:17:15.777964-07	1	t	18	28
f	2012-07-17 08:20:00.527788-07	1	t	14	16
f	2012-07-17 08:22:08.561128-07	1	t	16	21
f	2012-07-17 08:26:04.650009-07	1	t	23	37
f	2012-07-17 08:29:58.249064-07	1	t	23	36
f	2012-07-17 08:31:06.134373-07	1	t	20	20
f	2012-07-17 07:21:01.684029-07	2	t	41	43
f	2012-07-17 07:22:01.102602-07	2	t	19	21
f	2012-07-17 07:24:52.622256-07	2	t	23	17
f	2012-07-17 07:27:10.975037-07	2	t	43	43
f	2012-07-17 07:27:59.822248-07	2	t	28	31
f	2012-07-17 07:29:10.440284-07	2	t	27	31
f	2012-07-17 07:29:50.141012-07	2	t	12	12
f	2012-07-17 07:31:35.40508-07	2	t	24	23
f	2012-07-17 07:32:06.65057-07	2	t	14	17
f	2012-07-17 07:35:21.479828-07	2	t	14	16
f	2012-07-17 07:36:51.582093-07	2	t	23	27
f	2012-07-17 07:37:35.417688-07	2	t	14	16
f	2012-07-17 07:38:57.574748-07	2	t	15	19
