"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","26","0","start","start","","","","","","","","","","23","0.0","2"
"0","26","67","mouseenter","mouse","mouse","source_textbox","","","535","331","","mouse","1","23","0.0011324645471","2"
"0","26","30441","mouseover","mouse","mouse","centercol","","","679","353","","mouse","1","23","0.514527660869","2"
"0","26","30568","mouseover","mouse","mouse","","","","674","368","","mouse","1","23","0.516674272772","2"
"0","26","30584","mouseover","mouse","mouse","target_textbox","","","674","369","","mouse","1","23","0.516944712067","2"
"0","26","30985","mousedown","mouse","mouse","target_textbox","","","673","383","","mouse","1","23","0.523722596893","2"
"0","26","31097","click","mouse","mouse","target_textbox","","","673","383","","mouse","1","23","0.525615671957","2"
"0","26","31528","mouseover","mouse","mouse","","","","644","368","","mouse","1","23","0.532900630462","2"
"0","26","31536","mouseover","mouse","mouse","centercol","","","644","360","","mouse","1","23","0.533035850109","2"
"0","26","31556","mouseover","mouse","mouse","source_textbox","","","644","350","","mouse","1","23","0.533373899228","2"
"0","26","42392","mouseover","mouse","mouse","centercol","","","668","359","","mouse","1","23","0.716528911651","2"
"0","26","42408","mouseover","mouse","mouse","target_textbox","","","680","373","","mouse","1","23","0.716799350946","2"
"0","26","44224","mousedown","mouse","mouse","target_textbox","","","666","381","","mouse","1","23","0.747494210909","2"
"0","26","45289","click","mouse","mouse","target_textbox","","","721","380","","mouse","1","23","0.765495326471","2"
"0","26","45536","mouseover","mouse","mouse","centercol","","","715","367","","mouse","1","23","0.769670233085","2"
"0","26","45632","mouseover","mouse","mouse","source_textbox","","","710","352","","mouse","1","23","0.771292868854","2"
"0","26","46856","keypress","keyboard","keyboard","target_textbox","","","","","é","input","","23","0.791981474908","2"
"0","26","47023","keypress","keyboard","keyboard","target_textbox","","","","","F5","control","","23","0.794804185048","2"
"0","26","47143","keypress","keyboard","keyboard","target_textbox","","","","","numpad 1","control","","23","0.796832479759","2"
"0","26","47319","keypress","keyboard","keyboard","target_textbox","","","","","numpad 9","control","","23","0.799807312002","2"
"0","26","47495","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","23","0.802782144246","2"
"0","26","47735","keypress","keyboard","keyboard","target_textbox","","","","","decimal point","control","","23","0.806838733668","2"
"0","26","48911","keypress","keyboard","keyboard","target_textbox","","","","","F5","control","","23","0.826716021838","2"
"0","26","50736","mouseover","mouse","mouse","centercol","","","711","353","","mouse","1","23","0.857563003904","2"
"0","26","50816","mouseover","mouse","mouse","","","","750","368","","mouse","1","23","0.858915200379","2"
"0","26","50824","mouseover","mouse","mouse","target_textbox","","","759","370","","mouse","1","23","0.859050420026","2"
"0","26","58576","mouseover","mouse","mouse","centercol","","","409","526","","mouse","1","23","0.990078258371","2"
"0","26","58680","mouseover","mouse","mouse","form-tgt-input","","","410","533","","mouse","1","23","0.991836113787","2"
"0","26","58808","mouseover","mouse","mouse","form_submit","","","424","548","","mouse","1","23","0.993999628146","2"
"0","26","59034","focusout","focus","","target_textbox","","","","","","","","23","0.997819583185","2"
"0","26","59037","focusin","focus","","form_submit","","","","","","","","23","0.997870290553","2"
"0","26","59160","mouseup","mouse","mouse","form_submit","","","436","561","","mouse","1","23","0.999949292632","2"
"0","26","59163","end","end","","","","","","","","","","23","1.0","2"
"1","26","0","start","start","","","","","","","","","","35","0.0","2"
"1","26","74","mouseenter","mouse","mouse","target_textbox","","","694","497","","mouse","1","35","0.000692209833121","2"
"1","26","7862","mousedown","mouse","mouse","target_textbox","","","580","381","","mouse","1","35","0.0735426176757","2"
"1","26","8495","click","mouse","mouse","target_textbox","","","392","387","","mouse","1","35","0.0794638180049","2"
"1","26","8574","mouseover","mouse","mouse","centercol","","","392","388","","mouse","1","35","0.0802027987727","2"
"1","26","8631","mouseover","mouse","mouse","target_textbox","","","417","390","","mouse","1","35","0.080735987428","2"
"1","26","9310","mousedown","mouse","mouse","target_textbox","","","548","383","","mouse","1","35","0.0870874803562","2"
"1","26","9439","click","mouse","mouse","target_textbox","","","548","383","","mouse","1","35","0.0882941704707","2"
"1","26","11046","mousedown","mouse","mouse","target_textbox","","","585","379","","mouse","1","35","0.103326348874","2"
"1","26","11735","click","mouse","mouse","target_textbox","","","407","382","","mouse","1","35","0.109771383671","2"
"1","26","11831","mouseover","mouse","mouse","centercol","","","408","382","","mouse","1","35","0.110669385617","2"
"1","26","11846","mouseover","mouse","mouse","target_textbox","","","410","382","","mouse","1","35","0.110809698421","2"
"1","26","12670","keydown","keyboard","keyboard","target_textbox","","","","","shift","control","","35","0.118517548455","2"
"1","26","12829","keypress","keyboard","keyboard","target_textbox","","","","","A","input","","35","0.120004864177","2"
"1","26","13159","keypress","keyboard","keyboard","target_textbox","","","","","F6","control","","35","0.123091745865","2"
"1","26","13341","keypress","keyboard","keyboard","target_textbox","","","","","space","control","","35","0.124794207887","2"
"1","26","13637","keypress","keyboard","keyboard","target_textbox","","","","","numpad 4","control","","35","0.12756304722","2"
"1","26","13797","keypress","keyboard","keyboard","target_textbox","","","","","é","input","","35","0.129059717129","2"
"1","26","14109","keypress","keyboard","keyboard","target_textbox","","","","","numpad 2","control","","35","0.131978223453","2"
"1","26","14333","keypress","keyboard","keyboard","target_textbox","","","","","F6","control","","35","0.134073561326","2"
"1","26","14573","keypress","keyboard","keyboard","target_textbox","","","","","F5","control","","35","0.13631856619","2"
"1","26","16501","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.154353438599","2"
"1","26","17001","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.159030532066","2"
"1","26","17034","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.159339220235","2"
"1","26","17068","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.159657262591","2"
"1","26","17100","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.159956596573","2"
"1","26","17133","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.160265284741","2"
"1","26","17166","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.16057397291","2"
"1","26","17199","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.160882661079","2"
"1","26","17232","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.161191349248","2"
"1","26","17265","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.161500037417","2"
"1","26","17298","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.161808725586","2"
"1","26","17331","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.162117413754","2"
"1","26","17364","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.162426101923","2"
"1","26","17397","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.162734790092","2"
"1","26","17430","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.163043478261","2"
"1","26","17463","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.16335216643","2"
"1","26","17497","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.163670208785","2"
"1","26","17529","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.163969542767","2"
"1","26","17562","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.164278230936","2"
"1","26","17595","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.164586919105","2"
"1","26","17628","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.164895607274","2"
"1","26","17661","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.165204295443","2"
"1","26","17694","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.165512983611","2"
"1","26","17727","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.16582167178","2"
"1","26","17760","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.166130359949","2"
"1","26","17793","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.166439048118","2"
"1","26","17826","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.166747736287","2"
"1","26","18192","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.170171368705","2"
"1","26","20565","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.192368854299","2"
"1","26","21064","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.197036593579","2"
"1","26","23845","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.223050587443","2"
"1","26","29397","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.274985033301","2"
"1","26","29897","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.279662126768","2"
"1","26","29930","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.279970814937","2"
"1","26","29963","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.280279503106","2"
"1","26","29996","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.280588191274","2"
"1","26","30029","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.280896879443","2"
"1","26","30063","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.281214921799","2"
"1","26","30095","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.281514255781","2"
"1","26","30128","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.28182294395","2"
"1","26","30161","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.282131632119","2"
"1","26","30194","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.282440320287","2"
"1","26","30227","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.282749008456","2"
"1","26","30260","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.283057696625","2"
"1","26","30293","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.283366384794","2"
"1","26","30326","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.283675072963","2"
"1","26","30359","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.283983761131","2"
"1","26","30392","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.2842924493","2"
"1","26","30425","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.284601137469","2"
"1","26","30458","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.284909825638","2"
"1","26","30491","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.285218513807","2"
"1","26","30524","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.285527201976","2"
"1","26","30557","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.285835890144","2"
"1","26","30590","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.286144578313","2"
"1","26","32269","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.301850258176","2"
"1","26","48901","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.457429095263","2"
"1","26","49401","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.46210618873","2"
"1","26","49434","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.462414876899","2"
"1","26","49467","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.462723565068","2"
"1","26","49500","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.463032253237","2"
"1","26","49533","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.463340941405","2"
"1","26","49566","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.463649629574","2"
"1","26","49599","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.463958317743","2"
"1","26","49632","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.464267005912","2"
"1","26","49665","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.464575694081","2"
"1","26","49830","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.466119134925","2"
"1","26","50037","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.46805545162","2"
"1","26","50209","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.469664371773","2"
"1","26","50365","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.471123624935","2"
"1","26","50533","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.472695128339","2"
"1","26","50709","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.47434146524","2"
"1","26","50917","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.476287136122","2"
"1","26","51517","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.481899648283","2"
"1","26","51701","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.483620818678","2"
"1","26","51877","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.485267155579","2"
"1","26","52053","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.486913492479","2"
"1","26","52230","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.488569183567","2"
"1","26","53733","keypress","keyboard","keyboard","target_textbox","","","","","é","input","","35","0.502628526528","2"
"1","26","53933","keypress","keyboard","keyboard","target_textbox","","","","","space","control","","35","0.504499363915","2"
"1","26","54925","keypress","keyboard","keyboard","target_textbox","","","","","numpad 1","control","","35","0.513778717354","2"
"1","26","55133","keypress","keyboard","keyboard","target_textbox","","","","","F6","control","","35","0.515724388236","2"
"1","26","55365","keypress","keyboard","keyboard","target_textbox","","","","","space","control","","35","0.517894559605","2"
"1","26","55629","keypress","keyboard","keyboard","target_textbox","","","","","subtract","control","","35","0.520364064955","2"
"1","26","55829","keypress","keyboard","keyboard","target_textbox","","","","","numpad 9","control","","35","0.522234902342","2"
"1","26","55997","keypress","keyboard","keyboard","target_textbox","","","","","l","input","","35","0.523806405747","2"
"1","26","56181","keypress","keyboard","keyboard","target_textbox","","","","","numpad 9","control","","35","0.525527576143","2"
"1","26","56341","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","35","0.527024246053","2"
"1","26","56525","keypress","keyboard","keyboard","target_textbox","","","","","F6","control","","35","0.528745416448","2"
"1","26","59053","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.552392801018","2"
"1","26","65397","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.611735762927","2"
"1","26","65765","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.615178103719","2"
"1","26","65989","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.617273441592","2"
"1","26","66181","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.619069445484","2"
"1","26","66373","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.620865449375","2"
"1","26","67389","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","35","0.6303693033","2"
"1","26","67549","keypress","keyboard","keyboard","target_textbox","","","","","space","control","","35","0.63186597321","2"
"1","26","68245","keypress","keyboard","keyboard","target_textbox","","","","","numpad 6","control","","35","0.638376487316","2"
"1","26","68405","keypress","keyboard","keyboard","target_textbox","","","","","numpad 9","control","","35","0.639873157225","2"
"1","26","68917","keypress","keyboard","keyboard","target_textbox","","","","","numpad 7","control","","35","0.644662500935","2"
"1","26","69200","keypress","keyboard","keyboard","target_textbox","","","","","F6","control","","35","0.647309735838","2"
"1","26","69813","keypress","keyboard","keyboard","target_textbox","","","","","F3","control","","35","0.653043852428","2"
"1","26","69973","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","35","0.654540522338","2"
"1","26","70165","keypress","keyboard","keyboard","target_textbox","","","","","F7","control","","35","0.656336526229","2"
"1","26","71053","keypress","keyboard","keyboard","target_textbox","","","","","backspace","control","","35","0.664643044227","2"
"1","26","71901","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.672575394747","2"
"1","26","72093","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.674371398638","2"
"1","26","72261","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.675942902043","2"
"1","26","72429","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.677514405448","2"
"1","26","72565","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.678786574871","2"
"1","26","72741","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.680432911771","2"
"1","26","72885","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.68177991469","2"
"1","26","79941","keypress","keyboard","keyboard","target_textbox","","","","","","","","35","0.747783057697","2"
