is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-01 02:43:39.924233-07	1	t	23	28
f	2012-07-01 02:51:37.713962-07	1	t	35	34
f	2012-07-01 02:58:31.298935-07	1	t	25	30
f	2012-07-01 03:02:05.074342-07	1	t	18	18
f	2012-07-01 03:05:11.080958-07	1	t	21	20
f	2012-07-01 03:07:54.403572-07	1	t	22	26
f	2012-07-01 02:01:55.103457-07	1	t	25	38
f	2012-07-01 02:06:26.724156-07	1	t	26	33
f	2012-07-01 02:10:10.745008-07	1	t	18	30
f	2012-07-01 02:14:18.636248-07	1	t	14	14
f	2012-07-01 02:21:17.881241-07	1	t	16	24
f	2012-07-01 02:29:53.425858-07	1	t	23	30
f	2012-07-01 02:37:03.491079-07	1	t	23	27
f	2012-07-01 02:38:50.449348-07	1	t	20	18
f	2012-07-01 03:36:18.874564-07	2	t	41	50
f	2012-07-01 03:42:38.179817-07	2	t	19	26
f	2012-07-01 03:46:57.56534-07	2	t	23	18
f	2012-07-01 03:49:48.455632-07	2	t	43	43
f	2012-07-01 03:52:40.711242-07	2	t	28	29
f	2012-07-01 03:58:12.554294-07	2	t	27	31
f	2012-07-01 03:58:56.675166-07	2	t	12	10
f	2012-07-01 04:00:57.183187-07	2	t	24	25
f	2012-07-01 04:04:31.422895-07	2	t	14	14
f	2012-07-01 04:05:45.964292-07	2	t	14	16
f	2012-07-01 04:09:36.777345-07	2	t	23	31
f	2012-07-01 04:10:42.73673-07	2	t	14	19
f	2012-07-01 04:11:55.709059-07	2	t	15	16
