is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-17 09:23:14.935769-07	1	t	23	24
f	2012-07-17 09:26:09.719512-07	1	t	35	36
f	2012-07-17 09:28:29.755143-07	1	t	25	25
f	2012-07-17 09:30:37.025789-07	1	t	18	18
f	2012-07-17 09:32:15.751484-07	1	t	21	18
f	2012-07-17 09:34:13.046608-07	1	t	22	24
f	2012-07-17 08:58:58.142242-07	1	t	25	40
f	2012-07-17 09:02:09.988741-07	1	t	26	42
f	2012-07-17 09:05:51.193679-07	1	t	18	29
f	2012-07-17 09:07:49.264797-07	1	t	14	18
f	2012-07-17 09:10:59.660078-07	1	t	16	23
f	2012-07-17 09:16:13.270117-07	1	t	23	38
f	2012-07-17 09:19:48.839288-07	1	t	23	33
f	2012-07-17 09:21:19.394544-07	1	t	20	24
f	2012-07-17 09:58:55.105118-07	2	t	41	49
f	2012-07-17 10:00:16.666382-07	2	t	19	23
f	2012-07-17 10:03:48.890165-07	2	t	23	22
f	2012-07-17 10:09:11.769776-07	2	t	43	44
f	2012-07-17 10:11:34.350306-07	2	t	28	30
f	2012-07-17 09:41:05.057503-07	2	t	27	34
f	2012-07-17 09:42:01.926481-07	2	t	12	10
f	2012-07-17 09:44:37.031685-07	2	t	24	26
f	2012-07-17 09:45:18.106122-07	2	t	14	18
f	2012-07-17 09:48:08.051095-07	2	t	14	19
f	2012-07-17 09:50:52.365628-07	2	t	23	29
f	2012-07-17 09:51:48.53098-07	2	t	14	16
f	2012-07-17 09:52:56.545398-07	2	t	15	20
