is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-10 08:22:26.16768-07	1	t	23	26
f	2012-07-10 08:26:41.739095-07	1	t	35	31
f	2012-07-10 08:28:21.064059-07	1	t	25	28
f	2012-07-10 08:30:04.515991-07	1	t	18	21
f	2012-07-10 08:31:40.508703-07	1	t	21	22
f	2012-07-10 08:33:37.391448-07	1	t	22	26
f	2012-07-10 08:40:32.194698-07	1	t	25	31
f	2012-07-10 08:43:03.109463-07	1	t	26	35
f	2012-07-10 08:46:13.007505-07	1	t	18	28
f	2012-07-10 08:47:55.384048-07	1	t	14	16
f	2012-07-10 08:50:10.542382-07	1	t	16	24
f	2012-07-10 08:52:16.066134-07	1	t	23	29
f	2012-07-10 08:56:07.417683-07	1	t	23	30
f	2012-07-10 08:57:22.741842-07	1	t	20	19
f	2012-07-10 08:08:16.133532-07	2	t	41	46
f	2012-07-10 08:10:23.676375-07	2	t	19	18
f	2012-07-10 08:13:10.964559-07	2	t	23	21
f	2012-07-10 08:16:28.000777-07	2	t	43	44
f	2012-07-10 08:17:45.065177-07	2	t	28	34
f	2012-07-10 07:51:27.248971-07	2	t	27	38
f	2012-07-10 07:52:59.148186-07	2	t	12	16
f	2012-07-10 07:54:20.835182-07	2	t	24	27
f	2012-07-10 07:55:17.841756-07	2	t	14	19
f	2012-07-10 07:56:35.052729-07	2	t	14	16
f	2012-07-10 07:59:19.829935-07	2	t	23	25
f	2012-07-10 08:00:59.491963-07	2	t	14	19
f	2012-07-10 08:02:44.891968-07	2	t	15	21
