is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-06-28 10:28:39.858696-07	1	t	23	28
f	2012-06-28 10:31:36.918707-07	1	t	35	33
f	2012-06-28 10:33:45.654048-07	1	t	25	32
f	2012-06-28 10:36:31.126695-07	1	t	18	19
f	2012-06-28 10:38:32.841878-07	1	t	21	17
f	2012-06-28 10:40:36.70185-07	1	t	22	24
f	2012-06-28 10:48:13.608399-07	1	t	25	36
f	2012-06-28 10:54:26.988868-07	1	t	26	33
f	2012-06-28 10:57:29.260735-07	1	t	18	29
f	2012-06-28 11:01:33.666495-07	1	t	14	19
f	2012-06-28 11:05:06.220206-07	1	t	16	27
f	2012-06-28 11:10:34.670889-07	1	t	23	31
f	2012-06-28 11:16:57.860691-07	1	t	23	33
f	2012-06-28 11:19:00.92718-07	1	t	20	22
f	2012-06-28 11:37:35.427246-07	2	f	41	42
f	2012-06-28 11:39:27.44179-07	2	t	19	23
f	2012-06-28 11:42:26.799426-07	2	t	23	18
f	2012-06-28 11:47:21.536075-07	2	t	43	44
f	2012-06-28 11:51:23.269888-07	2	t	28	30
f	2012-06-28 11:54:33.654809-07	2	t	27	29
f	2012-06-28 11:59:15.637098-07	2	t	12	13
f	2012-06-28 12:01:08.028571-07	2	t	24	28
f	2012-06-28 12:01:59.333083-07	2	t	14	17
f	2012-06-28 12:07:15.81666-07	2	t	14	16
f	2012-06-28 12:11:53.984932-07	2	t	23	24
f	2012-06-28 12:13:48.954027-07	2	t	14	19
f	2012-06-28 12:17:09.574088-07	2	t	15	18
