"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"115083","187465","1483.84745763","59","28","0.760729212829","0.621994560448","262","182","79","1","0","2","1","28","68","18","12"
"87704","115083","1201.83928571","56","24","0.767388032473","0.576963422421","218","138","75","5","0","3","1","18","68","7","13"
"93701","87704","1206.38983051","59","21","0.75961836053","0.538628189667","229","151","74","4","0","4","1","20","68","10","14"
"80277","93701","1223.13333333","45","17","0.685638476774","0.485755571334","227","180","46","1","0","5","1","23","68","6","13"
"276876","80277","2021.4122807","114","37","0.832289544778","0.691771767867","438","356","76","6","0","6","1","29","68","23","5"
"178197","276876","1951.97297297","74","33","0.810597260335","0.684921743913","319","212","106","1","0","7","1","34","68","22","17"
"128126","178197","1596.2238806","67","23","0.834701777937","0.662519707163","228","155","69","4","0","8","1","21","68","15","14"
"131963","128126","2811.5","40","20","0.852208573615","0.777513393906","178","145","27","6","0","9","1","15","68","7","15"
"120776","131963","1529.0483871","62","24","0.784932436908","0.615850831291","259","178","77","4","0","10","1","22","68","16","12"
"145213","120776","2119.31481481","54","23","0.788104370821","0.682018827515","245","219","21","5","0","11","1","34","68","19","10"
"148451","145213","1617.02857143","70","26","0.762487285367","0.604057904628","331","230","94","7","0","12","1","33","68","16","12"
"63170","148451","1213.0","35","13","0.672075352224","0.486433433592","171","140","30","1","0","13","1","25","68","10","7"
"129925","63170","2117.875","56","23","0.912842024245","0.766865499327","155","76","75","4","0","14","2","44","68","14","1"
"27982","129925","1770.33333333","15","7","0.949002930455","0.766564219856","33","10","22","1","0","15","2","20","68","4","6"
"97323","27982","1953.79069767","43","21","0.8632389055","0.726816888094","149","75","73","1","0","16","2","22","68","12","2"
"5680","97323","756.0","5","1","0.665492957746","0.264612676056","46","0","21","1","24","17","2","44","68","0","16"
"66175","5680","2368.03846154","26","12","0.930396675482","0.827759727994","65","29","35","1","0","18","2","35","68","5","14"
"73425","66175","2233.29032258","31","14","0.942894109636","0.811426625809","67","30","36","1","0","19","2","32","68","12","10"
"40030","73425","1980.52631579","19","9","0.940044966275","0.80696977267","44","18","25","1","0","20","2","13","68","5","12"
"21104","40030","3916.0","5","3","0.927786201668","0.863722517058","18","5","12","1","0","21","2","28","68","1","3"
"34353","21104","1902.23529412","17","7","0.94134427852","0.770937036067","40","7","30","3","0","22","2","17","68","3","5"
"14865","34353","3633.0","4","2","0.977598385469","0.916515304406","8","0","7","1","0","23","2","15","68","0","1"
"52679","14865","2045.69565217","23","10","0.893164259003","0.704512234477","69","31","37","1","0","24","2","25","68","6","7"
"18396","52679","1574.18181818","11","4","0.941291585127","0.717492933246","24","4","19","1","0","25","2","16","68","2","2"
"45629","18396","2650.875","16","11","0.929540423853","0.850950053694","44","15","28","1","0","26","2","20","68","4","13"
"283007","1","2154.88073394","109","43","0.82995120262","0.701996770398","414","334","75","5","0","0","1","28","62","18","10"
"471252","283007","3079.51094891","137","67","0.895259860966","0.808126013258","496","319","154","23","0","1","1","34","62","26","11"
"411412","471252","3584.15686275","102","44","0.888608013378","0.81058889872","417","333","75","9","0","2","1","30","62","25","13"
"211614","411412","1757.06185567","97","35","0.805405124425","0.653085334619","363","279","79","5","0","3","1","18","62","16","16"
"152809","211614","2046.9516129","62","21","0.830520453638","0.668200171456","224","171","46","7","0","4","1","20","62","17","16"
"161237","152809","2039.2","60","28","0.758833270279","0.658217406675","329","293","31","5","0","5","1","26","62","23","10"
"494056","161237","2754.26712329","146","66","0.81392190359","0.722061871529","853","673","165","15","0","6","1","38","62","31","13"
"269394","494056","2626.69662921","89","38","0.867784731657","0.758944148719","363","265","91","7","0","7","1","33","62","26","16"
"221862","269394","3161.33898305","59","29","0.840698271899","0.768950969522","342","256","75","11","0","8","1","30","62","15","9"
"245739","221862","3115.4057971","69","29","0.874761433879","0.783945568266","336","228","99","9","0","9","1","14","62","6","13"
"417085","245739","2351.51655629","151","61","0.851334859801","0.728789095748","602","470","123","9","0","10","1","24","62","22","13"
"512996","417085","2600.37724551","167","69","0.846523169771","0.739686079424","757","578","162","17","0","11","1","30","62","21","14"
"423468","512996","3137.75","116","57","0.859519491437","0.77768568109","571","415","143","13","0","12","1","27","62","21","13"
"104974","423468","1349.01886792","53","15","0.681101987159","0.478213652905","275","228","44","3","0","13","1","18","62","11","14"
"806007","104974","5019.54","150","70","0.934149455278","0.879168543201","701","249","423","29","0","14","2","50","62","20","9"
"195650","806007","3112.21052632","57","31","0.906700741119","0.831004344493","229","116","104","9","0","15","2","26","62","12","10"
"257416","195650","4137.69642857","56","25","0.900142182304","0.837461540852","270","158","103","9","0","16","2","18","62","16","14"
"168893","257416","3623.43589744","39","22","0.836707264363","0.783644082348","227","191","33","3","0","17","2","43","62","17","3"
