"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"97518","328792","1213.21666667","60","16","0.746457064337","0.512982218667","289","147","124","18","0","9","1","15","54","10","4"
"172961","97518","1391.01923077","104","33","0.836408207631","0.639213464307","390","280","96","14","0","10","1","19","54","9","5"
"351129","172961","1593.81914894","188","64","0.853355889146","0.651914253736","743","342","360","41","0","11","1","25","54","18","11"
"271724","351129","1782.06976744","129","44","0.846031267021","0.681371538767","597","259","308","30","0","12","1","24","54","19","5"
"103027","271724","1344.203125","64","15","0.835014122512","0.595436147806","203","165","33","5","0","13","1","19","54","11","12"
"307433","103027","1759.18831169","154","58","0.881216395117","0.701697605657","577","167","381","29","0","14","2","42","54","22","9"
"67477","307433","1301.70454545","44","15","0.848807741897","0.634556960149","140","89","46","5","0","15","2","17","54","7","4"
"138918","67477","2140.81355932","59","25","0.909227026015","0.777912149613","212","74","128","10","0","16","2","22","54","7","3"
"221552","138918","1619.76470588","119","44","0.870007943959","0.693733299632","481","214","254","13","0","17","2","46","54","19","11"
"157330","221552","1698.0","79","31","0.852615521515","0.68320727134","339","123","199","17","0","18","2","31","54","13","5"
"222734","157330","1857.90196078","102","37","0.850817567143","0.694581877935","444","234","198","12","0","19","2","26","54","18","2"
"60301","222734","1575.45454545","33","12","0.862174756638","0.660901145918","116","68","43","5","0","20","2","11","54","10","11"
"118330","60301","1516.80882353","68","26","0.871655539593","0.680765655371","208","103","98","7","0","21","2","21","54","13","3"
"36252","118330","3424.1","10","7","0.944527198499","0.909218801721","29","4","23","2","0","22","2","15","54","1","5"
"49317","36252","1295.5","28","13","0.735527302958","0.588539448872","105","51","50","4","0","23","2","14","54","5","6"
"195000","49317","1602.02","100","39","0.821548717949","0.658005128205","443","229","197","17","0","24","2","21","54","14","6"
"47952","195000","1732.40909091","22","9","0.794815648982","0.645958458458","124","60","59","5","0","25","2","13","54","2","7"
"69656","47952","1364.07317073","41","11","0.802902836798","0.570532330309","137","79","53","5","0","26","2","15","54","5","6"
"101699","1","1038.88059701","67","19","0.684421675729","0.429404418923","426","277","138","11","0","0","1","23","57","10","14"
"104837","101699","1089.84126984","63","17","0.654921449488","0.411190705572","441","270","158","13","0","1","1","33","57","25","6"
"128112","104837","1275.33333333","78","27","0.776476832771","0.551119333084","374","255","110","9","0","2","1","23","57","19","7"
"98697","128112","1285.56363636","55","17","0.716394621924","0.50409840218","352","225","119","8","0","3","1","20","57","15","12"
"131578","98697","1731.81967213","61","28","0.802877380717","0.655276717992","307","198","102","7","0","4","1","21","57","13","17"
"114018","131578","1482.03448276","58","26","0.753898507253","0.611263133891","337","203","124","10","0","5","1","21","57","17","15"
"113009","114018","1117.88059701","67","17","0.662761372988","0.418409153253","382","313","68","1","0","6","1","27","57","25","5"
"230300","113009","1627.49137931","116","44","0.819752496743","0.637303517152","675","377","280","18","0","7","1","19","57","23","16"
"111188","230300","1458.05263158","57","22","0.747463755081","0.584955210994","375","223","138","14","0","8","1","19","57","16","15"
"84831","111188","1331.10638298","47","18","0.737489832726","0.564911412102","279","174","98","7","0","9","1","15","57","11","15"
"105754","84831","1438.98148148","54","18","0.734771261607","0.53256614407","351","190","145","16","0","10","1","20","57","14","10"
"122487","105754","1726.67307692","52","23","0.733032893287","0.611477136349","398","225","156","17","0","11","1","25","57","16","10"
"159121","122487","1283.95744681","94","33","0.758491965234","0.549738877961","513","280","222","11","0","12","1","27","57","21","4"
"102152","159121","1360.67241379","58","17","0.772564413815","0.568495966795","313","185","117","11","0","13","1","22","57","11","7"
"217512","102152","1806.26262626","99","42","0.82211556144","0.67685461032","575","251","306","18","0","14","2","42","57","17","3"
"3836","217512","864.0","4","1","0.900938477581","0.466631908238","12","0","11","1","0","15","2","18","57","7","2"
