"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"79550","90930","1711.84090909","44","23","0.946838466373","0.77233186675","70","39","30","1","0","26","2","15","79","6","2"
"80118","1","675.646341463","82","11","0.69151751167","0.258119274071","284","268","15","1","0","0","1","24","78","19","1"
"64882","80118","700.779661017","59","5","0.637249160014","0.208486174902","235","205","25","5","0","1","1","28","78","20","1"
"49359","64882","886.393939394","33","7","0.592617354484","0.334954111712","205","193","11","1","0","2","1","22","78","18","2"
"92927","49359","1148.81666667","60","12","0.741754280241","0.486586245117","245","195","45","5","0","3","1","18","78","11","4"
"3855","92927","614.2","5","0","0.796627756161","0.0","12","3","8","1","0","4","1","18","78","9","4"
"56820","3855","746.088888889","45","4","0.590883491728","0.24734248504","204","191","12","1","0","5","1","23","78","18","7"
"197173","56820","1244.31451613","124","29","0.782536148458","0.546165042881","494","293","185","16","0","6","1","35","78","31","7"
"111868","197173","942.390243902","82","16","0.690778417421","0.383442986377","308","279","28","1","0","7","1","27","78","21","10"
"92763","111868","1054.71212121","66","17","0.750417731207","0.486648771601","227","177","42","8","0","8","1","22","78","20","2"
"78193","92763","1606.8","40","14","0.821966160654","0.667297584183","140","108","28","4","0","9","1","13","78","11","5"
"116153","78193","1312.91428571","70","15","0.79123225401","0.53016280251","261","181","72","8","0","10","1","15","78","13","8"
"108607","116153","910.535714286","84","16","0.704236375188","0.381688104818","364","324","31","9","0","11","1","28","78","22","6"
"116270","108607","1172.74025974","77","19","0.776649178636","0.519213898684","267","211","49","7","0","12","1","21","78","18","7"
"90135","116270","1035.12698413","63","11","0.723503633439","0.445576080324","253","208","37","8","0","13","1","19","78","11","4"
"138864","90135","1069.28421053","95","23","0.731521488651","0.476322156931","340","283","52","5","0","14","2","30","78","25","1"
"71701","138864","1296.75","40","5","0.723420872791","0.468863753644","181","152","24","5","0","15","2","18","78","11","12"
"62838","71701","1021.73584906","53","16","0.861771539514","0.536427002769","131","64","62","5","0","16","2","17","78","10","1"
"86338","62838","1084.73846154","65","25","0.816650837406","0.552502953508","187","92","79","3","13","17","2","41","78","15","3"
"61516","86338","1331.8974359","39","14","0.844398205345","0.61450679498","106","50","55","1","0","18","2","23","78","13","1"
"74372","61516","1412.14583333","48","18","0.911404829775","0.685889851019","112","50","61","1","0","19","2","27","78","4","5"
"25540","74372","994.615384615","13","2","0.50626468285","0.265035238841","108","93","14","1","0","20","2","11","78","7","1"
"30175","25540","1382.05555556","18","5","0.824424192212","0.612493786247","56","22","31","3","0","21","2","20","78","4","3"
"19250","30175","1269.21428571","14","5","0.923064935065","0.678233766234","37","5","31","1","0","22","2","14","78","2","9"
"3339","19250","626.8","5","1","0.938604372567","0.33153638814","9","0","8","1","0","23","2","11","78","0","14"
"97671","3339","1157.45901639","61","24","0.722886015296","0.5220689867","232","186","45","1","0","24","2","24","78","22","9"
"54832","97671","1037.36363636","44","10","0.832433615407","0.478990370587","131","83","47","1","0","25","2","12","78","7","2"
"23602","54832","1909.54545455","11","6","0.889966951953","0.783196339293","29","7","21","1","0","26","2","14","78","2","16"
