"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","23","0","start","start","","","","","","","","","","23","0.0","2"
"0","23","56","mouseenter","mouse","mouse","token","Empress,","14","497","257","","","","23","0.000534682770803","2"
"0","23","68","focusout","focus","","target_textbox","","","","","","","","23","0.00064925765026","2"
"0","23","72","focusin","focus","","target_textbox","","","","","","","","23","0.000687449276746","2"
"0","23","190","mouseover","mouse","mouse","centercol","","","484","296","","","","23","0.00181410225808","2"
"0","23","1456","mouseover","mouse","mouse","source_textbox","","","491","315","","","","23","0.0139017520409","2"
"0","23","1479","mouseover","mouse","mouse","centercol","","","529","346","","","","23","0.0141213538932","2"
"0","23","1487","mouseout","mouse","mouse","centercol","","","544","358","","","","23","0.0141977371461","2"
"0","23","1489","mouseover","mouse","mouse","target_textbox","","","544","358","","","","23","0.0142168329594","2"
"0","23","32571","mousedown","mouse","mouse","target_textbox","","","737","372","","mouse","1","23","0.310984866568","2"
"0","23","35001","select","mouse","mouse","target_textbox","","","","","","","","23","0.334186279658","2"
"0","23","40245","keypress","keyboard","keyboard","target_textbox","","","","","ء","input","","23","0.384255501981","2"
"0","23","44784","mousedown","mouse","mouse","target_textbox","","","671","367","","mouse","1","23","0.427593450136","2"
"0","23","44893","click","mouse","mouse","target_textbox","","","671","367","","mouse","1","23","0.428634171958","2"
"0","23","46234","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.441437914737","2"
"0","23","46598","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.444913352747","2"
"0","23","46926","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.448045066119","2"
"0","23","48595","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.46398052227","2"
"0","23","49172","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.469489664391","2"
"0","23","51845","keypress","keyboard","keyboard","target_textbox","","","","","ل","input","","23","0.49501121879","2"
"0","23","67666","mousedown","mouse","mouse","target_textbox","","","820","388","","mouse","1","23","0.646068649449","2"
"0","23","67754","select","mouse","mouse","target_textbox","","","","","","","","23","0.646908865231","2"
"0","23","68734","mousedown","mouse","mouse","target_textbox","","","820","391","","mouse","1","23","0.65626581372","2"
"0","23","68828","click","mouse","mouse","target_textbox","","","820","391","","mouse","1","23","0.657163316943","2"
"0","23","70060","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.6689263379","2"
"0","23","71808","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.685616078675","2"
"0","23","74389","keypress","keyboard","keyboard","target_textbox","","","","","ا","input","","23","0.710259225665","2"
"0","23","81660","mousedown","mouse","mouse","target_textbox","","","619","389","","mouse","1","23","0.77968205471","2"
"0","23","82824","select","mouse","mouse","target_textbox","","","","","","","","23","0.790795818017","2"
"0","23","89685","keypress","keyboard","keyboard","target_textbox","","","","","م","input","","23","0.856304005347","2"
"0","23","90091","keypress","keyboard","keyboard","target_textbox","","","","","ن","input","","23","0.860180455435","2"
"0","23","93111","mousedown","mouse","mouse","target_textbox","","","885","406","","mouse","1","23","0.889015133432","2"
"0","23","94351","select","mouse","mouse","target_textbox","","","","","","","","23","0.900854537643","2"
"0","23","94687","mousedown","mouse","mouse","target_textbox","","","876","414","","mouse","1","23","0.904062634267","2"
"0","23","94780","click","mouse","mouse","target_textbox","","","876","414","","mouse","1","23","0.904950589583","2"
"0","23","95295","mousedown","mouse","mouse","target_textbox","","","885","401","","mouse","1","23","0.909867761493","2"
"0","23","95389","click","mouse","mouse","target_textbox","","","885","401","","mouse","1","23","0.910765264716","2"
"0","23","97096","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.927063541319","2"
"0","23","98281","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.938377810665","2"
"0","23","99825","mousedown","mouse","mouse","target_textbox","","","586","469","","mouse","1","23","0.953119778489","2"
