is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-21 00:16:48.096405-07	1	t	23	24
f	2012-07-21 00:17:55.283081-07	1	t	35	28
f	2012-07-21 00:18:47.251697-07	1	t	25	22
f	2012-07-21 00:20:23.631912-07	1	t	18	18
f	2012-07-21 00:21:34.079604-07	1	t	21	18
f	2012-07-21 00:22:33.620466-07	1	t	22	23
f	2012-07-21 00:03:12.171163-07	1	t	25	35
f	2012-07-21 00:05:07.030314-07	1	t	26	27
f	2012-07-21 00:06:42.187307-07	1	t	18	22
f	2012-07-21 00:08:03.136911-07	1	t	14	13
f	2012-07-21 00:10:01.937198-07	1	t	16	15
f	2012-07-21 00:11:53.280493-07	1	t	23	28
f	2012-07-21 00:13:52.404943-07	1	t	23	21
f	2012-07-21 00:15:25.110884-07	1	t	20	19
f	2012-07-21 00:31:26.754579-07	2	t	41	30
f	2012-07-21 00:32:42.09084-07	2	t	19	18
f	2012-07-21 00:33:47.24507-07	2	t	23	17
f	2012-07-21 00:38:54.393629-07	2	t	43	41
f	2012-07-21 00:39:57.965088-07	2	t	28	23
f	2012-07-21 00:24:33.272378-07	2	t	27	27
f	2012-07-21 00:25:02.475239-07	2	t	12	11
f	2012-07-21 00:25:34.496192-07	2	t	24	20
f	2012-07-21 00:25:56.033336-07	2	t	14	14
f	2012-07-21 00:26:00.812589-07	2	t	14	11
f	2012-07-21 00:27:41.016367-07	2	t	23	24
f	2012-07-21 00:28:38.208468-07	2	t	14	12
f	2012-07-21 00:29:03.580726-07	2	t	15	14
