is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-19 09:11:13.23319-07	1	t	23	16
f	2012-07-19 09:14:50.448372-07	1	t	35	25
f	2012-07-19 09:17:42.061797-07	1	t	25	19
f	2012-07-19 09:21:57.051555-07	1	t	18	15
f	2012-07-19 09:24:49.647142-07	1	t	21	19
f	2012-07-19 09:27:48.362236-07	1	t	22	22
f	2012-07-19 09:32:48.750454-07	1	t	25	32
f	2012-07-19 09:36:03.167232-07	1	t	26	22
f	2012-07-19 09:38:17.303685-07	1	t	18	16
f	2012-07-19 09:40:46.867269-07	1	t	14	15
f	2012-07-19 09:44:19.896644-07	1	t	16	20
f	2012-07-19 09:48:45.868681-07	1	t	23	30
f	2012-07-19 09:52:22.925021-07	1	t	23	24
f	2012-07-19 09:54:50.100695-07	1	t	20	23
f	2012-07-19 10:02:35.396271-07	2	t	41	31
f	2012-07-19 10:04:20.024849-07	2	t	19	20
f	2012-07-19 10:05:46.269548-07	2	t	23	12
f	2012-07-19 10:10:09.060803-07	2	t	43	30
f	2012-07-19 10:13:05.677594-07	2	t	28	20
f	2012-07-19 10:16:24.450576-07	2	t	27	31
f	2012-07-19 10:17:13.570503-07	2	t	12	12
f	2012-07-19 10:19:07.283307-07	2	t	24	15
f	2012-07-19 10:21:09.908648-07	2	t	14	20
f	2012-07-19 10:23:10.946242-07	2	t	14	14
f	2012-07-19 10:25:41.195061-07	2	t	23	19
f	2012-07-19 10:27:44.219656-07	2	t	14	11
f	2012-07-19 10:29:01.268355-07	2	t	15	16
