is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-21 02:17:59.983559-07	1	t	23	13
f	2012-07-21 02:20:06.035084-07	1	t	35	24
f	2012-07-21 02:22:53.320285-07	1	t	25	16
f	2012-07-21 02:25:44.674976-07	1	t	18	15
f	2012-07-21 02:27:53.896762-07	1	t	21	21
f	2012-07-21 02:30:43.642942-07	1	t	22	20
f	2012-07-21 02:36:25.043058-07	1	t	25	24
f	2012-07-21 02:39:47.267885-07	1	t	26	21
f	2012-07-21 02:42:43.712972-07	1	t	18	13
f	2012-07-21 02:44:21.555192-07	1	t	14	12
f	2012-07-21 02:47:38.091099-07	1	t	16	12
f	2012-07-21 02:51:49.823593-07	1	t	23	22
f	2012-07-21 02:55:53.351218-07	1	t	23	23
f	2012-07-21 02:57:52.800086-07	1	t	20	17
f	2012-07-21 01:25:59.058352-07	2	t	41	35
f	2012-07-21 01:28:00.2759-07	2	t	19	17
f	2012-07-21 01:29:29.856161-07	2	t	23	15
f	2012-07-21 01:33:40.489276-07	2	t	43	36
f	2012-07-21 01:35:58.845451-07	2	t	28	25
f	2012-07-21 01:58:46.356982-07	2	t	27	29
f	2012-07-21 01:59:24.743377-07	2	t	12	11
f	2012-07-21 02:02:25.14695-07	2	t	24	21
f	2012-07-21 02:03:44.147146-07	2	t	14	14
f	2012-07-21 02:04:49.115487-07	2	t	14	12
f	2012-07-21 02:09:17.26088-07	2	t	23	22
f	2012-07-21 02:10:25.813712-07	2	t	14	11
f	2012-07-21 02:12:18.58377-07	2	t	15	14
