"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","35","0","start","start","","","","","","","","","","23","0.0","2"
"0","35","56","mouseenter","mouse","mouse","target_textbox","","","452","498","","mouse","1","23","0.00049422812158","2"
"0","35","2149","keypress","keyboard","keyboard","target_textbox","","","","","enter","control","","23","0.0189660041656","2"
"0","35","2432","keypress","keyboard","keyboard","target_textbox","","","","","enter","control","","23","0.0214636212801","2"
"0","35","3029","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.0267324460762","2"
"0","35","3170","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.0279768418823","2"
"0","35","24806","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.218925406856","2"
"0","35","25006","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.22069050729","2"
"0","35","26409","mousedown","mouse","mouse","target_textbox","","","585","374","","mouse","1","23","0.233072686836","2"
"0","35","26550","click","mouse","mouse","target_textbox","","","585","374","","mouse","1","23","0.234317082642","2"
"0","35","27205","keypress","keyboard","keyboard","target_textbox","","","","","enter","control","","23","0.240097786564","2"
"0","35","27344","keypress","keyboard","keyboard","target_textbox","","","","","enter","control","","23","0.241324531366","2"
"0","35","27746","keydown","keyboard","keyboard","target_textbox","","","","","alt","control","","23","0.244872383239","2"
"0","35","27791","change","mouse","mouse","target_textbox","","","","","","","","23","0.245269530836","2"
"0","35","27799","blur","focus","","","","","","","","","","23","0.245340134854","2"
"0","35","27801","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.245357785858","2"
"0","35","29928","keypress","keyboard","keyboard","target_textbox","","","","","","","","23","0.264129628976","2"
"0","35","29931","focusin","focus","","","","","","","","","","23","0.264156105482","2"
"0","35","29940","focusin","focus","","target_textbox","","","","","","","","23","0.264235535002","2"
"0","35","31356","mousedown","mouse","mouse","target_textbox","","","601","375","","mouse","1","23","0.276732446076","2"
