is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-21 12:14:30.728204-07	1	t	23	22
f	2012-07-21 12:17:52.852743-07	1	t	35	34
f	2012-07-21 12:19:48.594314-07	1	t	25	23
f	2012-07-21 12:21:48.444224-07	1	t	18	19
f	2012-07-21 12:23:10.939309-07	1	t	21	23
f	2012-07-21 12:25:13.397733-07	1	t	22	24
f	2012-07-21 11:48:30.638652-07	1	t	25	33
f	2012-07-21 11:52:32.126823-07	1	t	26	32
f	2012-07-21 11:56:02.748427-07	1	t	18	20
f	2012-07-21 11:59:48.444751-07	1	t	14	12
f	2012-07-21 12:02:12.935838-07	1	t	16	21
f	2012-07-21 12:06:08.796115-07	1	t	23	25
f	2012-07-21 12:09:35.117732-07	1	t	23	28
f	2012-07-21 12:12:11.209747-07	1	t	20	22
f	2012-07-21 09:16:15.197765-07	2	t	41	51
f	2012-07-21 09:18:10.958213-07	2	t	19	17
f	2012-07-21 09:20:09.833246-07	2	t	23	21
f	2012-07-21 09:25:13.396473-07	2	t	43	46
f	2012-07-21 09:27:00.13974-07	2	t	28	31
f	2012-07-21 09:30:45.677136-07	2	t	27	30
f	2012-07-21 09:32:38.806159-07	2	t	12	14
f	2012-07-21 09:36:52.219261-07	2	t	24	24
f	2012-07-21 09:37:47.32197-07	2	t	14	14
f	2012-07-21 09:38:46.230208-07	2	t	14	13
f	2012-07-21 09:40:44.730884-07	2	t	23	22
f	2012-07-21 09:41:36.445479-07	2	t	14	12
f	2012-07-21 09:42:07.244009-07	2	t	15	15
