is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-19 10:24:49.039348-07	1	t	23	21
f	2012-07-19 10:29:46.846021-07	1	f	35	1
f	2012-07-19 10:37:27.13089-07	1	t	25	25
f	2012-07-19 10:43:09.315789-07	1	t	18	15
f	2012-07-19 10:47:37.667807-07	1	t	21	22
f	2012-07-19 10:52:26.830089-07	1	t	22	19
f	2012-07-19 11:04:30.068292-07	1	t	25	29
f	2012-07-19 11:12:41.174884-07	1	t	26	25
f	2012-07-19 11:19:16.683408-07	1	t	18	17
f	2012-07-19 11:22:32.591941-07	1	f	14	1
f	2012-07-19 11:29:47.690484-07	1	t	16	21
f	2012-07-19 11:41:37.851691-07	1	t	23	26
f	2012-07-19 11:48:45.072058-07	1	t	23	25
f	2012-07-19 11:52:28.875207-07	1	t	20	20
f	2012-07-19 15:28:10.690773-07	2	t	41	46
f	2012-07-19 15:31:30.859128-07	2	t	19	19
f	2012-07-19 15:33:59.918044-07	2	t	23	23
f	2012-07-19 15:46:18.808447-07	2	t	43	49
f	2012-07-19 15:54:02.98615-07	2	t	28	31
f	2012-07-19 14:48:19.951439-07	2	t	27	28
f	2012-07-19 14:50:01.844791-07	2	t	12	9
f	2012-07-19 14:54:37.432089-07	2	t	24	24
f	2012-07-19 14:56:33.799843-07	2	t	14	15
f	2012-07-19 14:59:00.301536-07	2	t	14	13
f	2012-07-19 15:04:52.573331-07	2	t	23	21
f	2012-07-19 15:08:04.496601-07	2	t	14	12
f	2012-07-19 15:11:42.228348-07	2	t	15	15
