"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","3","0","start","start","","","","","","","","","","23","0.0","2"
"0","3","19","mouseenter","mouse","mouse","target_textbox","","","478","491","","","","23","0.000775921917752","2"
"0","3","2326","mouseover","mouse","mouse","centercol","","","484","354","","","","23","0.0949891779311","2"
"0","3","2373","mouseover","mouse","mouse","source_textbox","","","496","341","","","","23","0.0969085637277","2"
"0","3","2605","mouseover","mouse","mouse","centercol","","","590","343","","","","23","0.106382978723","2"
"0","3","2661","mouseover","mouse","mouse","target_textbox","","","590","356","","","","23","0.108669906481","2"
"0","3","12189","mousedown","mouse","mouse","target_textbox","","","670","391","","mouse","1","23","0.497774329236","2"
"0","3","12318","mouseup","mouse","mouse","target_textbox","","","670","391","","mouse","1","23","0.503042430678","2"
"0","3","12320","click","mouse","mouse","target_textbox","","","670","391","","mouse","1","23","0.503124106669","2"
"0","3","13004","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.531057295708","2"
"0","3","22005","mouseover","mouse","mouse","","","","484","518","","","","23","0.898640094744","2"
"0","3","22013","mouseover","mouse","mouse","form-tgt-input","","","471","523","","","","23","0.89896679871","2"
"0","3","22038","mouseover","mouse","mouse","centercol","","","440","536","","","","23","0.899987748601","2"
"0","3","22101","mouseover","mouse","mouse","maincol","","","395","561","","","","23","0.902560542329","2"
"0","3","22341","mouseover","mouse","mouse","form-tgt-input","","","444","559","","","","23","0.91236166129","2"
"0","3","22349","mouseover","mouse","mouse","form_submit","","","450","558","","","","23","0.912688365255","2"
"0","3","24439","focusout","focus","","target_textbox","","","","","","","","23","0.998039776208","2"
"0","3","24485","mouseup","mouse","mouse","form_submit","","","476","548","","mouse","1","23","0.999918324009","2"
"0","3","24487","end","end","","","","","","","","","","23","1.0","2"
"1","3","0","start","start","","","","","","","","","","35","0.0","2"
"1","3","467","mouseenter","mouse","mouse","form_submit","","","476","548","","","","35","0.00285756244416","2"
"1","3","1463","mouseover","mouse","mouse","form-tgt-input","","","475","535","","","","35","0.00895206393108","2"
"1","3","1527","mouseover","mouse","mouse","","","","488","520","","","","35","0.00934367848445","2"
"1","3","1535","mouseover","mouse","mouse","target_textbox","","","493","517","","","","35","0.00939263030362","2"
"1","3","13721","mousedown","mouse","mouse","target_textbox","","","487","385","","mouse","1","35","0.0839584888573","2"
"1","3","13848","click","mouse","mouse","target_textbox","","","487","385","","mouse","1","35","0.0847355989867","2"
"1","3","14479","keypress","keyboard","keyboard","target_textbox","","","","",",","input","","35","0.0885966737239","2"
"1","3","14635","keypress","keyboard","keyboard","target_textbox","","","","","space","control","","35","0.0895512341977","2"
"1","3","14929","keypress","keyboard","keyboard","target_textbox","","","","","numpad 4","control","","35","0.0913502135523","2"
"1","3","15007","keypress","keyboard","keyboard","target_textbox","","","","","numpad 9","control","","35","0.0918274937892","2"
"1","3","15142","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","35","0.0926535557378","2"
"1","3","17775","mousedown","mouse","mouse","target_textbox","","","558","384","","mouse","1","35","0.108764823223","2"
"1","3","17887","click","mouse","mouse","target_textbox","","","558","384","","mouse","1","35","0.109450148691","2"
"1","3","17976","mousedown","mouse","mouse","target_textbox","","","558","384","","mouse","1","35","0.109994737679","2"
"1","3","18080","select","mouse","mouse","target_textbox","","","","","","","","35","0.110631111329","2"
"1","3","18352","keydown","keyboard","keyboard","target_textbox","","","","","ctrl","control","","35","0.112295473181","2"
"1","3","18807","keydown","keyboard","keyboard","target_textbox","","","","","X","input","","35","0.115079607896","2"
"1","3","21135","mousedown","mouse","mouse","target_textbox","","","635","384","","mouse","1","35","0.129324587275","2"
"1","3","22592","select","mouse","mouse","target_textbox","","","","","","","","35","0.138239937342","2"
"1","3","23150","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","35","0.141654326729","2"
"1","3","23333","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","35","0.142774099592","2"
"1","3","23987","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","35","0.14677591081","2"
"1","3","24156","keypress","keyboard","keyboard","target_textbox","","","","","numpad 9","control","","35","0.14781001799","2"
"1","3","24334","keypress","keyboard","keyboard","target_textbox","","","","","decimal point","control","","35","0.148899195966","2"
"1","3","24413","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","35","0.149382595181","2"
"1","3","24602","keypress","keyboard","keyboard","target_textbox","","","","","F4","control","","35","0.150539081909","2"
"1","3","26224","mousedown","mouse","mouse","target_textbox","","","842","388","","mouse","1","35","0.160464063246","2"
"1","3","26377","click","mouse","mouse","target_textbox","","","842","388","","mouse","1","35","0.161400266787","2"
"1","3","26936","keypress","keyboard","keyboard","target_textbox","","","","","F4","control","","35","0.164820775152","2"
