"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","4","0","start","start","","","","","","","","","","23","0.0","2"
"0","4","54","mouseenter","mouse","mouse","target_textbox","","","569","394","","mouse","1","23","0.00108394556185","2"
"0","4","16246","mousedown","mouse","mouse","target_textbox","","","682","320","","mouse","1","23","0.326107029588","2"
"0","4","16373","click","mouse","mouse","target_textbox","","","682","320","","mouse","1","23","0.328656308965","2"
"0","4","16639","keypress","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.33399574451","2"
"0","4","18465","mouseover","mouse","mouse","source_textbox","","","720","119","","mouse","1","23","0.370649162953","2"
"0","4","18712","mouseover","mouse","mouse","maincol","","","717","106","","mouse","1","23","0.375607210245","2"
"0","4","18724","mouseout","mouse","mouse","maincol","","","716","87","","mouse","1","23","0.375848087037","2"
"0","4","18727","mouseover","mouse","mouse","header","","","716","87","","mouse","1","23","0.375908306235","2"
"0","4","18747","mouseleave","mouse","mouse","header","","","714","-8","","mouse","1","23","0.376309767554","2"
"0","4","20144","change","mouse","mouse","target_textbox","","","","","","","","23","0.4043518407","2"
"0","4","20146","focusout","focus","","target_textbox","","","","","","","","23","0.404391986832","2"
"0","4","20149","focusout","focus","","","","","","","","","","23","0.40445220603","2"
"0","4","32926","focus","focus","","","","","","","","","","23","0.660925769802","2"
"0","4","32929","focusin","focus","","","","","","","","","","23","0.660985989","2"
"0","4","32933","focusin","focus","","target_textbox","","","","","","","","23","0.661066281264","2"
"0","4","33565","mouseover","mouse","mouse","header","","","766","27","","mouse","1","23","0.673752458951","2"
"0","4","33568","mouseenter","mouse","mouse","header","","","766","27","","mouse","1","23","0.673812678148","2"
"0","4","33591","mouseover","mouse","mouse","source_textbox","","","712","266","","mouse","1","23","0.674274358666","2"
"0","4","33603","mouseover","mouse","mouse","centercol","","","706","285","","mouse","1","23","0.674515235457","2"
"0","4","33617","mouseover","mouse","mouse","target_textbox","","","694","317","","mouse","1","23","0.674796258381","2"
"0","4","35009","mousedown","mouse","mouse","target_textbox","","","749","337","","mouse","1","23","0.702737966197","2"
"0","4","35609","click","mouse","mouse","target_textbox","","","827","335","","mouse","1","23","0.714781805773","2"
"0","4","37155","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","23","0.745814765747","2"
"0","4","37206","keypress","keyboard","keyboard","target_textbox","","","","","numpad 5","control","","23","0.746838492111","2"
"0","4","37451","keypress","keyboard","keyboard","target_textbox","","","","","decimal point","control","","23","0.751756393272","2"
"0","4","37832","keypress","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.759404231402","2"
"0","4","37972","keypress","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.762214460637","2"
"0","4","38209","keypress","keyboard","keyboard","target_textbox","","","","","decimal point","control","","23","0.766971777269","2"
