is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-20 22:09:24.989645-07	1	t	23	22
f	2012-07-20 22:15:49.545051-07	1	t	35	36
f	2012-07-20 22:20:31.718162-07	1	t	25	23
f	2012-07-20 22:26:33.540238-07	1	t	18	20
f	2012-07-20 22:28:08.13206-07	1	t	21	20
f	2012-07-20 22:30:59.085622-07	1	t	22	23
f	2012-07-20 22:36:58.921682-07	1	t	25	31
f	2012-07-20 22:44:40.357307-07	1	t	26	28
f	2012-07-20 22:52:01.614899-07	1	t	18	21
f	2012-07-20 22:56:12.980947-07	1	t	14	13
f	2012-07-20 22:59:47.706064-07	1	t	16	22
f	2012-07-20 23:05:14.983538-07	1	t	23	26
f	2012-07-20 23:08:20.127594-07	1	t	23	23
f	2012-07-20 23:10:51.457523-07	1	t	20	23
f	2012-07-20 21:50:24.760056-07	2	t	41	43
f	2012-07-20 21:53:08.893145-07	2	t	19	23
f	2012-07-20 21:55:32.951293-07	2	t	23	23
f	2012-07-20 22:01:14.667281-07	2	t	43	47
f	2012-07-20 22:07:06.080617-07	2	t	28	33
f	2012-07-20 21:26:45.785844-07	2	t	27	29
f	2012-07-20 21:27:34.39045-07	2	t	12	10
f	2012-07-20 21:34:30.606137-07	2	t	24	24
f	2012-07-20 21:36:20.920278-07	2	t	14	14
f	2012-07-20 21:38:25.937722-07	2	t	14	13
f	2012-07-20 21:42:37.909977-07	2	t	23	23
f	2012-07-20 21:44:08.619792-07	2	t	14	12
f	2012-07-20 21:45:06.767467-07	2	t	15	14
